12/02/2019,03:49:56,
S=ADXL355 C=53 F=125.00
-434.2400,-16517.2480,-295.8080
-434.5600,-16521.3438,-339.1360
-434.9440,-16528.7031,-364.4800
-434.8800,-16529.5996,-376.4480
-440.6400,-16526.8477,-371.0720
-440.2560,-16523.5195,-348.5440
-439.8080,-16507.1367,-308.8000
-435.7760,-16502.0801,-274.6880
-428.6080,-16514.6875,-271.2320
-429.3760,-16529.6641,-287.8080
-435.0080,-16536.0000,-327.8720
-441.6640,-16535.0391,-380.9280
-441.0880,-16524.4160,-399.1040
-437.6320,-16513.7285,-383.4880
-437.7600,-16507.1367,-344.7680
-435.2640,-16502.5273,-291.8400
-432.7040,-16517.4395,-258.1760
-434.5600,-16535.3594,-264.8960
-435.6480,-16535.2969,-297.2800
-435.3920,-16519.5527,-340.0320
-438.9760,-16510.7207,-369.9840
-439.5520,-16511.9355,-383.9360
-440.8960,-16523.5195,-381.3760
-438.1440,-16529.2793,-362.2400
-434.5600,-16524.6719,-314.3680
-431.9360,-16517.8887,-271.1040
-435.0720,-16512.7676,-254.7840
-438.4640,-16515.3281,-272.2560
-438.1440,-16518.5273,-319.2320
-436.6720,-16520.5762,-372.1600
-436.3520,-16528.4473,-393.1520
-433.4080,-16523.5840,-375.0400
-435.0720,-16520.4473,-338.4960
-438.2080,-16517.1836,-307.2000
-440.8320,-16515.1992,-287.4240
-440.3840,-16517.6953,-290.0480
-437.0560,-16521.6641,-305.8560
-434.2400,-16517.9512,-328.5760
-434.7520,-16518.9121,-347.2000
-434.5600,-16520.1289,-357.2480
-437.3760,-16527.2324,-353.1520
-441.2160,-16524.9277,-335.8720
-441.2800,-16516.8633,-313.1520
-434.8160,-16512.9609,-292.4800
-427.2000,-16515.1367,-293.9520
-431.0400,-16529.8555,-313.1520
-443.4560,-16538.8809,-352.8960
-446.9760,-16529.9844,-390.7840
-445.8240,-16514.8809,-383.4240
-440.6400,-16503.4238,-323.7760
-432.6400,-16498.3672,-278.2080
-425.6640,-16508.6074,-257.0240
-433.7280,-16533.2480,-266.6240
-439.3600,-16545.3438,-302.9760
-436.6720,-16541.0566,-361.9200
-432.3840,-16525.5684,-406.1440
-433.6640,-16512.0645,-408.3200
-440.1280,-16505.4727,-381.9520
-441.2160,-16509.8242,-327.7440
-435.3920,-16519.6152,-269.4400
-431.8720,-16530.4961,-240.1280
-433.7920,-16528.3848,-247.5520
-437.8880,-16518.0156,-285.5040
-441.0880,-16512.8320,-338.8800
-441.6000,-16514.6875,-391.6800
-440.8320,-16521.9199,-410.1120
-434.2400,-16530.3047,-395.9680
-430.2720,-16529.2168,-346.4960
-430.9760,-16525.9512,-299.3280
-434.8800,-16517.8242,-272.3200
-433.9840,-16509.8887,-264.1280
-435.5200,-16512.6406,-280.0640
-436.0960,-16522.4961,-320.0640
-440.0000,-16529.6641,-359.8080
-441.9840,-16526.4648,-379.3920
-442.9440,-16518.7207,-369.9840
-438.5920,-16516.4160,-343.8720
-435.8400,-16515.9043,-310.1440
-432.7680,-16517.1191,-291.7120
-433.4080,-16523.5195,-299.2640
-430.9120,-16525.7598,-325.5040
-431.1040,-16523.1992,-339.0080
-434.5600,-16522.7520,-346.2400
-439.0400,-16522.1758,-344.1280
-438.6560,-16518.7207,-331.2000
-436.6720,-16517.4395,-322.3680
-437.8880,-16515.0078,-303.5520
-439.2320,-16515.9688,-312.9600
-443.3280,-16520.4473,-322.4320
-440.3200,-16523.9043,-332.3520
-441.8560,-16521.6641,-338.3040
-439.7440,-16522.9434,-344.9600
-431.5520,-16523.7129,-346.7520
-429.5040,-16524.0957,-337.2160
-431.9360,-16522.4961,-321.3440
-434.1120,-16523.4551,-311.1040
-438.4640,-16517.6328,-306.6240
-438.7840,-16514.4316,-311.7440
-438.5280,-16514.4961,-318.0160
-440.3840,-16520.5762,-332.6720
-439.2320,-16523.5840,-345.2800
-437.6320,-16522.4961,-346.3040
-439.2960,-16523.0723,-338.1120
-437.4400,-16521.0234,-334.3360
-436.0960,-16521.1523,-320.5760
-433.3440,-16515.1367,-314.6240
-433.7280,-16514.4961,-306.5600
-433.9840,-16518.7207,-309.9520
-435.9040,-16522.4961,-317.1840
-437.5040,-16522.7520,-334.8480
-438.0800,-16522.4961,-349.3760
-436.1600,-16524.4160,-352.2560
-437.1840,-16521.5996,-343.7440
-435.7120,-16520.7676,-330.6240
-433.8560,-16519.4883,-313.4720
-434.3680,-16518.1445,-307.9040
-437.5680,-16518.0801,-308.4800
-438.8480,-16515.5195,-316.8000
-439.2320,-16520.3848,-324.8640
-435.3920,-16523.3281,-334.0160
-435.5840,-16522.6230,-339.6480
-433.5360,-16522.6875,-337.6640
-433.5360,-16522.9434,-331.7760
-434.8160,-16522.2402,-332.0960
-436.8640,-16518.4648,-329.5360
-438.0160,-16521.8555,-321.4720
-435.3280,-16520.7031,-316.9280
-434.3680,-16518.4648,-320.9600
-436.3520,-16518.0156,-319.2960
-437.5040,-16520.2559,-323.1360
-438.7200,-16522.2402,-327.2960
-437.6960,-16526.2070,-327.3600
-436.4160,-16522.3672,-330.1120
-438.8480,-16521.4082,-332.2880
-438.1440,-16522.1113,-336.2560
-437.9520,-16523.0723,-339.0720
-435.5840,-16519.6152,-331.5840
-434.7520,-16519.2324,-325.8240
-436.2880,-16518.8477,-318.6560
-436.2240,-16516.8633,-310.2080
-435.3280,-16518.5273,-312.7040
-431.7440,-16524.2871,-328.4480
-434.7520,-16525.0566,-333.1200
-439.8720,-16522.6875,-344.0000
-440.0000,-16520.6406,-351.8080
-438.7200,-16520.9609,-345.9200
-439.1680,-16519.0391,-331.2640
-439.8720,-16518.0801,-321.0240
-434.5600,-16514.7520,-306.8160
-432.3840,-16523.5195,-302.9120
-435.5200,-16524.6719,-314.4960
-437.5040,-16522.1113,-326.2720
-438.4640,-16521.4082,-333.8880
-437.6960,-16521.5996,-345.0240
-439.1680,-16518.8477,-349.1200
-436.3520,-16518.8477,-337.5360
-435.8400,-16520.5117,-326.4640
-434.5600,-16521.7930,-316.9920
-436.3520,-16521.5352,-307.1360
-437.5680,-16518.6562,-312.1280
-438.5920,-16519.2969,-314.5600
-436.5440,-16521.7285,-323.7120
-435.7120,-16524.0312,-344.2560
-436.6080,-16524.4160,-350.9760
-437.6960,-16520.9609,-343.2320
-437.1840,-16521.8555,-336.9600
-436.9920,-16517.5684,-323.5840
-437.6320,-16517.3125,-309.5680
-436.5440,-16520.4473,-306.3040
-434.5600,-16519.7441,-313.9840
-436.2880,-16523.5840,-321.2800
-438.1440,-16527.1035,-331.0080
-435.1360,-16523.2637,-339.2000
-436.4160,-16521.9199,-347.0080
-437.2480,-16521.6641,-347.0720
-436.3520,-16520.7676,-338.0480
-437.5040,-16515.0078,-324.8000
-436.8640,-16517.3770,-316.2880
-436.0960,-16518.5273,-308.4160
-435.6480,-16518.9121,-306.9440
-438.5920,-16518.7832,-321.0880
-438.7200,-16522.7520,-336.2560
-436.0960,-16522.8164,-340.4160
-434.4320,-16522.3672,-348.2240
-435.0080,-16525.3125,-342.4000
-436.0960,-16520.7676,-329.4720
-435.5840,-16517.7598,-324.6080
-438.8480,-16517.5684,-317.6960
-436.3520,-16517.5684,-310.6560
-435.2000,-16517.5684,-308.9920
-436.7360,-16521.2793,-319.9360
-436.6720,-16520.9609,-323.0080
-434.9440,-16521.9199,-334.9120
-437.6320,-16523.2637,-340.1600
-437.2480,-16523.0078,-338.6880
-437.7600,-16520.5762,-335.9360
-437.3760,-16519.7441,-330.7520
-435.5840,-16518.9766,-322.0480
-435.8400,-16521.8555,-316.6720
-437.2480,-16519.3594,-316.2880
-437.3120,-16521.4082,-321.1520
-437.8880,-16517.3770,-325.2480
-435.9040,-16518.1445,-330.8800
-438.4000,-16518.9121,-327.2320
-434.8160,-16521.6641,-333.9520
-435.6480,-16525.5039,-337.3440
-438.1440,-16522.5605,-334.7200
-437.6960,-16521.7930,-333.1200
-437.1840,-16524.0312,-332.2240
-436.0960,-16517.8242,-320.6400
-434.6240,-16518.5273,-313.7920
-435.9040,-16519.1680,-324.0320
-433.2800,-16519.0391,-317.9520
-435.2640,-16521.4082,-323.3920
-438.4000,-16518.5918,-326.7840
-438.7840,-16518.9766,-325.9520
-438.2720,-16520.6406,-328.0000
-436.7360,-16521.2168,-333.7600
-436.4160,-16521.9199,-337.1520
-436.9920,-16525.2480,-328.1280
